loan_id,sector,initial_rating,ead,Actual_Default,Predicted_Default,Risk_Score_Percent
L036798,Healthcare,CCC,1365921.33,1.0,1.0,96.78
L033148,Real_Estate,CCC,3099710.59,1.0,1.0,96.76
L040028,Retail,CCC,50000.0,1.0,1.0,96.75
L000269,Technology,CCC,7081302.73,0.0,1.0,96.75
L039499,Retail,CCC,129689.63,0.0,1.0,96.7
L004210,Technology,CCC,281054.0,1.0,1.0,96.67
L003277,Retail,CCC,67747.33,0.0,1.0,96.65
L013617,Industrials,CCC,11611005.5,1.0,1.0,96.65
L028323,Real_Estate,CCC,388965.89,1.0,1.0,96.64
L034216,Industrials,CCC,9585061.53,0.0,1.0,96.62
L035922,Energy,CCC,724630.76,1.0,1.0,96.61
L043507,Technology,CCC,3879289.84,0.0,1.0,96.61
L036852,Financials,CCC,1089734.66,0.0,1.0,96.6
L024943,Energy,CCC,526032.8,1.0,1.0,96.59
L013602,Energy,CCC,2573111.62,1.0,1.0,96.56
L018488,Financials,CCC,2146978.53,1.0,1.0,96.55
L017022,Real_Estate,CCC,3384515.35,0.0,1.0,96.54
L026124,Energy,CCC,687501.12,0.0,1.0,96.54
L000771,Utilities,CCC,3922864.26,0.0,1.0,96.54
L026965,Industrials,CCC,1851204.99,0.0,1.0,96.53
L003896,Technology,CCC,380223.47,1.0,1.0,96.52
L041406,Industrials,CCC,396428.54,1.0,1.0,96.52
L032308,Consumer,CCC,1470245.0,0.0,1.0,96.51
L038785,Telecom,CCC,3954843.8,1.0,1.0,96.51
L035941,Real_Estate,CCC,14592321.68,1.0,1.0,96.5
L000399,Energy,CCC,2586402.92,1.0,1.0,96.5
L021321,Financials,CCC,2171120.44,0.0,1.0,96.49
L019207,Technology,CCC,1898526.26,1.0,1.0,96.48
L015193,Energy,CCC,302043.61,1.0,1.0,96.47
L049862,Consumer,CCC,4872883.96,1.0,1.0,96.46
L004380,Consumer,CCC,968589.86,0.0,1.0,96.43
L011858,Financials,CCC,391869.95,1.0,1.0,96.41
L012055,Utilities,CCC,4191371.59,1.0,1.0,96.41
L007125,Healthcare,CCC,1022508.24,1.0,1.0,96.4
L004542,Consumer,CCC,469582.55,1.0,1.0,96.39
L047599,Industrials,CCC,2197551.64,1.0,1.0,96.37
L026890,Healthcare,CCC,66647.15,0.0,1.0,96.35
L010697,Utilities,CCC,4611782.19,1.0,1.0,96.35
L012772,Energy,CCC,3224325.26,0.0,1.0,96.35
L017472,Technology,CCC,792266.42,1.0,1.0,96.34
L007632,Retail,CCC,212799.63,0.0,1.0,96.33
L027411,Utilities,CCC,498812.88,0.0,1.0,96.32
L029100,Healthcare,CCC,3263059.97,0.0,1.0,96.31
L008557,Consumer,CCC,114784.38,1.0,1.0,96.31
L001471,Retail,CCC,144217.07,0.0,1.0,96.27
L016894,Retail,CCC,824763.73,0.0,1.0,96.27
L043884,Retail,CCC,149486.17,0.0,1.0,96.27
L048761,Energy,CCC,2183075.56,1.0,1.0,96.27
L008916,Industrials,CCC,745653.99,0.0,1.0,96.24
L022829,Energy,CCC,488512.73,0.0,1.0,96.23
L026097,Technology,CCC,812915.1,0.0,1.0,96.22
L037694,Utilities,CCC,3075575.27,0.0,1.0,96.22
L017480,Telecom,CCC,1248644.48,1.0,1.0,96.22
L012013,Consumer,CCC,97451.59,0.0,1.0,96.19
L041775,Consumer,CCC,320174.06,1.0,1.0,96.19
L034185,Real_Estate,CCC,6035586.79,0.0,1.0,96.18
L017334,Real_Estate,CCC,15410687.01,1.0,1.0,96.18
L045182,Retail,CCC,531378.52,0.0,1.0,96.17
L028299,Energy,CCC,3889533.57,0.0,1.0,96.17
L046107,Technology,CCC,1479281.96,1.0,1.0,96.16
L009288,Energy,CCC,6997790.45,1.0,1.0,96.14
L010484,Consumer,CCC,1158365.35,1.0,1.0,96.14
L011709,Technology,CCC,524557.55,1.0,1.0,96.11
L004440,Financials,CCC,3667922.18,0.0,1.0,96.11
L020384,Industrials,CCC,1111266.24,1.0,1.0,96.11
L035984,Retail,CCC,376809.32,1.0,1.0,96.11
L036031,Consumer,CCC,1891342.73,1.0,1.0,96.1
L019469,Utilities,CCC,1289943.79,0.0,1.0,96.09
L006452,Technology,CCC,566736.98,0.0,1.0,96.08
L035125,Energy,CCC,432184.95,1.0,1.0,96.08
L015761,Energy,CCC,3551957.59,1.0,1.0,96.07
L040806,Technology,CCC,1334341.45,0.0,1.0,96.07
L004512,Technology,CCC,661988.15,1.0,1.0,96.07
L019910,Utilities,CCC,10691454.75,1.0,1.0,96.07
L047209,Retail,CCC,230159.62,1.0,1.0,96.05
L032952,Retail,CCC,10527730.95,0.0,1.0,96.04
L001570,Retail,CCC,50000.0,1.0,1.0,96.04
L005142,Telecom,CCC,1672174.67,0.0,1.0,96.02
L044403,Energy,CCC,8980582.59,1.0,1.0,96.02
L028374,Industrials,CCC,2787546.42,0.0,1.0,96.02
L037350,Energy,CCC,2708261.84,1.0,1.0,96.02
L021474,Telecom,CCC,1064007.06,1.0,1.0,96.01
L034632,Telecom,CCC,2680771.29,0.0,1.0,96.01
L025166,Healthcare,CCC,50000.0,1.0,1.0,96.0
L017745,Financials,CCC,2627210.2,0.0,1.0,95.99
L040734,Financials,CCC,932899.47,1.0,1.0,95.97
L028576,Real_Estate,CCC,2089556.61,0.0,1.0,95.96
L024813,Industrials,CCC,849971.96,1.0,1.0,95.95
L008959,Financials,CCC,7580789.65,1.0,1.0,95.95
L012040,Technology,CCC,317998.49,0.0,1.0,95.93
L027400,Telecom,CCC,1334013.37,0.0,1.0,95.93
L006020,Industrials,CCC,3456642.7,0.0,1.0,95.92
L003789,Retail,CCC,866655.89,1.0,1.0,95.92
L021820,Utilities,CCC,1453179.57,1.0,1.0,95.92
L036308,Financials,CCC,2878177.53,1.0,1.0,95.92
L023829,Industrials,CCC,3037856.24,0.0,1.0,95.91
L020312,Telecom,CCC,1744320.5,0.0,1.0,95.9
L042038,Real_Estate,CCC,568475.98,0.0,1.0,95.89
L028575,Technology,CCC,5958855.83,1.0,1.0,95.89
L001106,Energy,CCC,33196509.05,1.0,1.0,95.86
L025651,Healthcare,CCC,1851593.36,1.0,1.0,95.85
L033916,Retail,CCC,136730.87,0.0,1.0,95.84
L038776,Energy,CCC,1141082.56,0.0,1.0,95.83
L032242,Energy,CCC,2004924.54,1.0,1.0,95.82
L025932,Consumer,CCC,1331318.83,1.0,1.0,95.82
L007550,Technology,CCC,446999.04,0.0,1.0,95.81
L045772,Retail,CCC,179533.94,1.0,1.0,95.8
L021791,Retail,CCC,83555.54,0.0,1.0,95.8
L004119,Consumer,CCC,679692.35,1.0,1.0,95.77
L030716,Retail,CCC,108882.2,0.0,1.0,95.77
L027735,Financials,CCC,24853432.96,0.0,1.0,95.77
L020024,Consumer,CCC,111004.23,1.0,1.0,95.76
L038414,Utilities,CCC,4511651.14,1.0,1.0,95.76
L012151,Real_Estate,CCC,8938054.94,0.0,1.0,95.76
L003316,Industrials,CCC,5601235.78,1.0,1.0,95.74
L018497,Consumer,CCC,794222.53,0.0,1.0,95.73
L030840,Energy,CCC,5316458.72,0.0,1.0,95.71
L013674,Retail,CCC,6849077.79,0.0,1.0,95.69
L038464,Financials,CCC,1518751.67,1.0,1.0,95.69
L037910,Real_Estate,CCC,6333517.2,0.0,1.0,95.67
L049536,Consumer,CCC,148054.91,0.0,1.0,95.66
L009272,Industrials,CCC,1884380.89,0.0,1.0,95.64
L040032,Consumer,CCC,223239.93,1.0,1.0,95.63
L039966,Technology,CCC,910552.22,0.0,1.0,95.62
L011803,Energy,CCC,4371474.32,1.0,1.0,95.62
L035216,Utilities,CCC,912329.54,1.0,1.0,95.59
L046903,Utilities,CCC,4170039.5,1.0,1.0,95.59
L000149,Technology,CCC,562508.63,1.0,1.0,95.57
L049931,Telecom,CCC,491264.39,1.0,1.0,95.55
L013872,Industrials,CCC,16439253.93,0.0,1.0,95.53
L016169,Industrials,CCC,12589269.84,1.0,1.0,95.5
L001917,Technology,CCC,2547362.0,1.0,1.0,95.5
L041929,Real_Estate,CCC,1876745.24,1.0,1.0,95.49
L029303,Healthcare,CCC,110189.44,0.0,1.0,95.49
L038650,Real_Estate,CCC,1256681.58,0.0,1.0,95.47
L001776,Telecom,CCC,1490429.27,0.0,1.0,95.46
L001837,Industrials,CCC,2215623.23,0.0,1.0,95.45
L037698,Financials,CCC,3361076.43,0.0,1.0,95.44
L020502,Technology,CCC,498756.83,0.0,1.0,95.44
L044666,Utilities,CCC,38968396.38,1.0,1.0,95.44
L029237,Utilities,CCC,1136233.95,1.0,1.0,95.43
L046729,Technology,CCC,2846273.31,0.0,1.0,95.41
L034230,Financials,CCC,3760140.53,1.0,1.0,95.41
L018282,Consumer,CCC,146161.08,0.0,1.0,95.4
L040445,Healthcare,CCC,1409395.62,1.0,1.0,95.39
L001075,Healthcare,CCC,757787.96,0.0,1.0,95.38
L011567,Real_Estate,CCC,691978.82,0.0,1.0,95.37
L049603,Healthcare,CCC,5195392.14,1.0,1.0,95.36
L011128,Energy,CCC,2677066.37,0.0,1.0,95.35
L036155,Technology,CCC,1704195.03,1.0,1.0,95.34
L034146,Retail,CCC,141658.73,0.0,1.0,95.34
L048981,Telecom,CCC,6241014.89,1.0,1.0,95.33
L026650,Healthcare,CCC,1566371.21,0.0,1.0,95.3
L031389,Industrials,CCC,191602.12,1.0,1.0,95.29
L031901,Telecom,CCC,429323.17,1.0,1.0,95.28
L001828,Utilities,CCC,1034884.73,1.0,1.0,95.28
L023289,Healthcare,CCC,2930871.77,0.0,1.0,95.27
L028282,Healthcare,CCC,295516.62,1.0,1.0,95.27
L028351,Consumer,CCC,1608565.94,0.0,1.0,95.23
L038808,Technology,CCC,447829.97,1.0,1.0,95.22
L000561,Financials,CCC,931490.92,1.0,1.0,95.22
L033478,Real_Estate,CCC,4736277.79,1.0,1.0,95.21
L022317,Consumer,CCC,1128211.31,0.0,1.0,95.19
L022163,Telecom,CCC,389629.57,1.0,1.0,95.18
L032655,Industrials,CCC,815464.75,0.0,1.0,95.18
L016863,Technology,CCC,162229.74,1.0,1.0,95.15
L025664,Utilities,CCC,1509368.27,1.0,1.0,95.15
L047321,Financials,CCC,916158.79,0.0,1.0,95.15
L003937,Healthcare,CCC,5001734.15,0.0,1.0,95.14
L021578,Financials,CCC,2059035.8,0.0,1.0,95.14
L042041,Technology,CCC,2615466.29,0.0,1.0,95.11
L044129,Consumer,CCC,1934417.04,1.0,1.0,95.11
L046916,Real_Estate,CCC,510807.28,0.0,1.0,95.11
L013786,Utilities,CCC,2213453.54,1.0,1.0,95.1
L049369,Financials,CCC,7485694.9,0.0,1.0,95.09
L038231,Industrials,CCC,14991379.99,1.0,1.0,95.07
L027461,Technology,CCC,791533.1,1.0,1.0,95.07
L024426,Telecom,CCC,215157.95,0.0,1.0,95.06
L017754,Financials,CCC,1922816.95,1.0,1.0,95.01
L047038,Technology,CCC,1677454.83,1.0,1.0,95.01
L010887,Retail,CCC,126249.26,1.0,1.0,95.01
L009942,Retail,CCC,935545.33,0.0,1.0,95.0
L007902,Real_Estate,CCC,1896725.61,0.0,1.0,94.99
L008135,Industrials,CCC,9041841.57,1.0,1.0,94.96
L005482,Utilities,CCC,11819169.39,0.0,1.0,94.95
L037468,Technology,CCC,3529035.85,1.0,1.0,94.93
L036680,Energy,CCC,352720.51,0.0,1.0,94.92
L033629,Retail,CCC,128945.9,0.0,1.0,94.87
L042342,Real_Estate,CCC,5144147.59,0.0,1.0,94.87
L037417,Telecom,CCC,20061431.79,1.0,1.0,94.85
L047791,Technology,CCC,3690358.37,1.0,1.0,94.84
L037040,Healthcare,CCC,2352113.24,0.0,1.0,94.79
L015491,Technology,CCC,943410.77,1.0,1.0,94.79
L034786,Utilities,CCC,214192.76,0.0,1.0,94.78
L037166,Financials,CCC,4105825.46,0.0,1.0,94.74
L043065,Industrials,CCC,1310139.18,1.0,1.0,94.74
L034141,Telecom,CCC,1754717.81,1.0,1.0,94.74
L028830,Healthcare,CCC,1268907.06,0.0,1.0,94.72
L032117,Healthcare,CCC,1895078.72,0.0,1.0,94.72
L006199,Telecom,CCC,1576328.16,1.0,1.0,94.71
L000397,Real_Estate,CCC,34050078.51,1.0,1.0,94.68
L024709,Healthcare,CCC,200803.05,1.0,1.0,94.68
L014753,Energy,CCC,50000.0,0.0,1.0,94.67
L040310,Utilities,CCC,1154429.69,1.0,1.0,94.67
L029821,Financials,CCC,948942.96,1.0,1.0,94.66
L019353,Healthcare,CCC,2601139.43,1.0,1.0,94.66
L009334,Consumer,CCC,284610.62,1.0,1.0,94.65
L037965,Consumer,CCC,2352819.05,1.0,1.0,94.63
L006763,Utilities,CCC,2117014.41,0.0,1.0,94.63
L014544,Technology,CCC,761968.77,1.0,1.0,94.6
L004432,Financials,CCC,574216.79,0.0,1.0,94.59
L048062,Healthcare,CCC,2234093.96,1.0,1.0,94.59
L019287,Technology,CCC,320106.58,0.0,1.0,94.58
L030535,Real_Estate,CCC,15172522.17,1.0,1.0,94.57
L027822,Technology,CCC,230731.05,1.0,1.0,94.54
L020327,Utilities,CCC,4748681.2,1.0,1.0,94.54
L017775,Financials,CCC,1557096.99,1.0,1.0,94.53
L017899,Financials,CCC,91608.7,1.0,1.0,94.52
L015035,Retail,CCC,490546.8,1.0,1.0,94.52
L019569,Financials,CCC,1241876.28,1.0,1.0,94.51
L043468,Consumer,CCC,192807.11,1.0,1.0,94.51
L009356,Retail,CCC,214478.38,1.0,1.0,94.51
L013629,Utilities,CCC,3366097.79,1.0,1.0,94.5
L047290,Telecom,CCC,838849.58,0.0,1.0,94.49
L003769,Real_Estate,CCC,1545957.23,1.0,1.0,94.45
L011569,Technology,CCC,5684624.02,1.0,1.0,94.45
L029891,Utilities,CCC,14146380.9,1.0,1.0,94.44
L006801,Financials,CCC,1363663.48,0.0,1.0,94.44
L008288,Utilities,CCC,7355633.76,0.0,1.0,94.4
L034290,Utilities,CCC,1176493.62,1.0,1.0,94.36
L035805,Technology,CCC,1678305.05,1.0,1.0,94.36
L040012,Telecom,CCC,297089.23,1.0,1.0,94.35
L043304,Healthcare,CCC,635080.51,1.0,1.0,94.31
L041508,Real_Estate,CCC,2593067.8,0.0,1.0,94.28
L043330,Real_Estate,CCC,8422895.02,1.0,1.0,94.27
L045192,Healthcare,CCC,1068850.46,1.0,1.0,94.25
L007154,Utilities,CCC,3499668.73,1.0,1.0,94.25
L026489,Technology,CCC,129002.29,0.0,1.0,94.24
L026834,Consumer,CCC,50000.0,0.0,1.0,94.2
L049696,Utilities,CCC,4384408.71,0.0,1.0,94.17
L033626,Industrials,CCC,624836.58,0.0,1.0,94.16
L046049,Industrials,CCC,8334448.77,1.0,1.0,94.16
L031895,Industrials,CCC,3980209.61,0.0,1.0,94.16
L008489,Technology,CCC,5087189.01,0.0,1.0,94.13
L002141,Consumer,CCC,1600758.24,1.0,1.0,94.09
L017851,Industrials,CCC,5318928.15,1.0,1.0,94.08
L017753,Retail,CCC,464840.33,0.0,1.0,94.07
L008149,Telecom,CCC,1520386.29,1.0,1.0,94.05
L043930,Utilities,CCC,908986.57,0.0,1.0,94.04
L040783,Energy,B,1857555.49,0.0,1.0,94.02
L048127,Energy,CCC,16680169.83,0.0,1.0,94.01
L047530,Technology,CCC,1507374.73,1.0,1.0,93.93
L035807,Telecom,CCC,424660.62,0.0,1.0,93.91
L040078,Real_Estate,CCC,1159955.15,1.0,1.0,93.9
L008718,Utilities,CCC,6907487.09,0.0,1.0,93.9
L029636,Industrials,CCC,2011268.25,0.0,1.0,93.88
L015336,Financials,CCC,2089211.43,1.0,1.0,93.84
L040851,Industrials,CCC,10720085.14,0.0,1.0,93.82
L027420,Industrials,CCC,2356535.25,0.0,1.0,93.8
L005701,Financials,CCC,4559612.84,1.0,1.0,93.78
L004340,Industrials,CCC,26074930.51,0.0,1.0,93.77
L032287,Healthcare,CCC,160312.43,1.0,1.0,93.72
L014233,Utilities,CCC,2407630.41,0.0,1.0,93.72
L021899,Utilities,CCC,841788.02,0.0,1.0,93.7
L023430,Technology,CCC,6076820.53,0.0,1.0,93.7
L046997,Real_Estate,CCC,2499605.37,0.0,1.0,93.69
L022851,Energy,CCC,2379945.33,1.0,1.0,93.67
L026102,Telecom,CCC,17205300.59,0.0,1.0,93.64
L038488,Financials,CCC,1289822.06,1.0,1.0,93.61
L049501,Industrials,CCC,9711046.89,1.0,1.0,93.6
L009746,Healthcare,CCC,510770.7,1.0,1.0,93.59
L041622,Real_Estate,CCC,4125173.09,0.0,1.0,93.56
L022798,Energy,CCC,1388429.08,1.0,1.0,93.52
L040909,Healthcare,CCC,5764470.35,0.0,1.0,93.49
L018898,Real_Estate,B,1820493.37,0.0,1.0,93.43
L028914,Industrials,CCC,335646.18,1.0,1.0,93.4
L027663,Healthcare,CCC,377896.69,0.0,1.0,93.39
L045465,Consumer,CCC,1232758.26,0.0,1.0,93.38
L003320,Retail,CCC,222139.48,1.0,1.0,93.33
L049675,Energy,CCC,1960006.26,0.0,1.0,93.32
L010432,Utilities,CCC,1546609.32,1.0,1.0,93.31
L029076,Technology,CCC,6421987.45,0.0,1.0,93.28
L019768,Energy,CCC,240916.66,0.0,1.0,93.28
L033120,Industrials,B,2179466.37,1.0,1.0,93.26
L003733,Telecom,CCC,2519553.57,0.0,1.0,93.22
L026406,Telecom,CCC,860891.85,1.0,1.0,93.16
L032799,Consumer,B,3241687.39,1.0,1.0,93.16
L028938,Consumer,CCC,1520348.47,0.0,1.0,93.11
L024705,Real_Estate,CCC,27313118.55,1.0,1.0,93.11
L047754,Financials,B,8684811.99,0.0,1.0,93.11
L001412,Real_Estate,CCC,3677898.59,0.0,1.0,93.07
L030086,Utilities,CCC,995467.89,1.0,1.0,93.05
L033683,Telecom,CCC,301334.16,0.0,1.0,93.03
L045083,Consumer,CCC,610584.22,1.0,1.0,93.02
L013077,Retail,CCC,890746.67,0.0,1.0,93.02
L033421,Healthcare,CCC,6192596.63,0.0,1.0,92.99
L033291,Consumer,CCC,750720.44,0.0,1.0,92.98
L016575,Industrials,CCC,2616838.11,1.0,1.0,92.96
L009915,Healthcare,CCC,738016.46,0.0,1.0,92.93
L001609,Industrials,CCC,8763782.27,1.0,1.0,92.91
L013455,Industrials,CCC,371894.62,1.0,1.0,92.88
L045594,Financials,CCC,304700.29,1.0,1.0,92.83
L022025,Healthcare,CCC,3592008.64,1.0,1.0,92.77
L027770,Retail,CCC,967275.66,0.0,1.0,92.77
L004879,Healthcare,CCC,2096024.63,0.0,1.0,92.76
L001579,Real_Estate,CCC,9556975.92,1.0,1.0,92.75
L018240,Industrials,CCC,114644.24,1.0,1.0,92.74
L017523,Telecom,CCC,2105606.8,0.0,1.0,92.69
L016961,Technology,CCC,1265565.9,0.0,1.0,92.67
L015367,Technology,CCC,4523856.22,1.0,1.0,92.64
L019981,Healthcare,B,483216.45,1.0,1.0,92.64
L018283,Real_Estate,CCC,894910.34,1.0,1.0,92.63
L031655,Energy,CCC,2466075.72,0.0,1.0,92.55
L033252,Utilities,CCC,3273836.67,1.0,1.0,92.54
L036555,Retail,CCC,404716.64,1.0,1.0,92.5
L035996,Healthcare,CCC,3942069.68,0.0,1.0,92.49
L004375,Healthcare,CCC,344835.15,1.0,1.0,92.44
L047282,Real_Estate,CCC,18060643.1,1.0,1.0,92.41
L040484,Technology,CCC,3392983.0,0.0,1.0,92.33
L007280,Financials,CCC,6305424.67,1.0,1.0,92.33
L005266,Real_Estate,CCC,14658035.88,1.0,1.0,92.31
L020183,Industrials,CCC,1392525.93,0.0,1.0,92.27
L010854,Retail,CCC,50192.16,0.0,1.0,92.21
L005546,Industrials,CCC,774265.1,0.0,1.0,92.21
L016198,Utilities,CCC,4553565.4,0.0,1.0,92.19
L001591,Energy,CCC,3118733.55,1.0,1.0,92.12
L040292,Industrials,CCC,2127284.12,0.0,1.0,92.03
L014699,Consumer,B,1555033.79,1.0,1.0,92.03
L018055,Real_Estate,CCC,2107196.02,1.0,1.0,91.95
L026832,Technology,CCC,1977415.0,1.0,1.0,91.94
L038751,Industrials,CCC,1400645.14,1.0,1.0,91.9
L004194,Real_Estate,B,904589.39,0.0,1.0,91.84
L038679,Consumer,B,1049730.89,0.0,1.0,91.82
L015924,Healthcare,CCC,1903337.87,1.0,1.0,91.72
L038469,Utilities,B,390639.64,1.0,1.0,91.65
L019160,Retail,B,314802.2,1.0,1.0,91.64
L014751,Technology,CCC,1603390.53,1.0,1.0,91.45
L045078,Telecom,B,606648.69,0.0,1.0,91.4
L033289,Real_Estate,CCC,3247785.91,0.0,1.0,91.13
L020782,Technology,CCC,3491289.8,1.0,1.0,91.13
L032790,Industrials,B,723756.86,0.0,1.0,91.1
L014453,Industrials,CCC,2401548.07,0.0,1.0,90.93
L047319,Technology,B,535734.45,0.0,1.0,90.91
L039380,Consumer,B,541186.7,1.0,1.0,90.82
L024838,Healthcare,B,1179741.54,1.0,1.0,90.79
L008924,Energy,CCC,1633287.11,0.0,1.0,90.75
L042478,Consumer,B,384718.8,0.0,1.0,90.72
L011320,Energy,B,5548404.9,1.0,1.0,90.72
L012388,Healthcare,CCC,2003597.63,1.0,1.0,90.65
L041262,Energy,CCC,530389.9,1.0,1.0,90.57
L039155,Energy,B,863471.68,0.0,1.0,90.45
L013050,Consumer,CCC,745755.21,1.0,1.0,90.45
L015558,Telecom,CCC,720545.33,1.0,1.0,90.36
L044006,Consumer,CCC,3851496.93,0.0,1.0,90.35
L016846,Industrials,B,1274592.51,1.0,1.0,90.26
L004995,Energy,CCC,3013588.62,1.0,1.0,90.15
L012331,Consumer,CCC,576832.41,1.0,1.0,90.15
L043235,Real_Estate,CCC,1425692.54,1.0,1.0,90.12
L033543,Retail,CCC,64030.33,1.0,1.0,90.12
L038109,Financials,CCC,20791484.57,1.0,1.0,90.08
L012254,Real_Estate,CCC,8315049.58,1.0,1.0,90.0
L028489,Financials,B,1507434.12,0.0,1.0,89.86
L017357,Financials,B,477874.28,0.0,1.0,89.84
L007546,Retail,CCC,371315.77,1.0,1.0,89.79
L001574,Telecom,CCC,374024.23,1.0,1.0,89.75
L021770,Healthcare,B,374082.03,1.0,1.0,89.74
L031377,Financials,CCC,648861.37,0.0,1.0,89.71
L003060,Energy,B,236494.27,0.0,1.0,89.49
L021496,Industrials,B,13005274.32,0.0,1.0,89.29
L021778,Energy,B,7043891.3,1.0,1.0,89.26
L012626,Telecom,CCC,3200664.7,1.0,1.0,89.01
L036977,Industrials,B,677930.68,0.0,1.0,88.96
L032327,Technology,CCC,2738595.87,1.0,1.0,88.94
L017064,Energy,B,651587.31,0.0,1.0,88.89
L036714,Technology,CCC,315200.97,1.0,1.0,88.86
L010343,Healthcare,CCC,224397.31,1.0,1.0,88.86
L017502,Healthcare,CCC,2849595.82,1.0,1.0,88.86
L040647,Telecom,B,522025.73,0.0,1.0,88.83
L030922,Technology,B,1080806.55,0.0,1.0,88.8
L030747,Healthcare,B,1882383.67,0.0,1.0,88.78
L043302,Telecom,CCC,579109.08,1.0,1.0,88.77
L036664,Energy,B,1364905.4,1.0,1.0,88.76
L047672,Consumer,B,924485.88,0.0,1.0,88.72
L027475,Utilities,B,2392854.31,0.0,1.0,88.65
L026893,Real_Estate,B,3984576.57,0.0,1.0,88.65
L049866,Energy,CCC,1449031.68,1.0,1.0,88.6
L014108,Telecom,B,1269453.1,1.0,1.0,88.59
L028974,Utilities,B,5089168.31,1.0,1.0,88.55
L033994,Energy,B,7734948.04,0.0,1.0,88.53
L028316,Real_Estate,B,759619.68,0.0,1.0,88.52
L027120,Consumer,CCC,1756083.07,0.0,1.0,88.48
L049577,Financials,B,1814862.18,1.0,1.0,88.45
L009328,Industrials,B,805880.82,1.0,1.0,88.43
L007986,Telecom,CCC,3641198.34,0.0,1.0,88.42
L021619,Energy,B,9129615.47,0.0,1.0,88.42
L022811,Telecom,B,10475181.31,0.0,1.0,88.42
L035957,Consumer,B,1034786.64,0.0,1.0,88.42
L004520,Consumer,CCC,1561336.51,0.0,1.0,88.4
